,config.variables.CHANNEL_24,country,config.variables.SHUTDOWN_24,description,msn,type,config.variables.CHANNEL_5,mac,network,config.variables.VLAN_1_IP,config.variables.POWER_5,status_time,config.variables.VLAN_1_PREFIX6,config.variables.DISPLAY_NAME,tower,config.variables.VLAN_1_IP6,product,managed_account,location.type,ap_group,ip,config.variables.DEFAULT_GW6,config.variables.VLAN_1_MASK,config.variables.POWER_24,config.variables.VLAN_1_MODE6,config.variables.LOCATION,config.version,config.variables.VLAN_1_MODE,site,registration_date,@timestamp,config.variables.DNS_SERVER6_2,config.variables.DNS_SERVER_2,config.variables.DNS_SERVER6_1,config.variables.DNS_SERVER_1,name,site_id,location.coordinates,config.variables.SHUTDOWN_5,config.variables.DEFAULT_GW,status
404,,CO,,,W8WL03KW5R3B,wifi-enterprise,,BC:A9:93:00:31:74,CORDOBA,,,38313.0,,,,,cnPilot e510,,Point,,172.25.116.212,,,,,,,,31154-ZGYO864 MONTERiA GALILEA,2021-05-07 17:50:59,2021-06-21T09:48:13.818332,,,,,31154-ZGYO864-AP-EXT1,31154-ZGYO864,-75.2137182,,,offline
405,,CO,,,W8WK04G72B8T,wifi-enterprise,,BC:E6:7C:EC:AA:4C,CORDOBA,,,38313.0,,,,,cnPilot e410,,Point,INDOOR,172.25.116.211,,,,,,,,31154-ZGYO864 MONTERiA GALILEA,2021-05-07 18:01:21,2021-06-21T09:48:13.818332,,,,,31154-ZGYO864-AP-INT,31154-ZGYO864,9.1557749,,,offline
406,,CO,,,W8WK04TNKKTS,wifi-enterprise,,BC:E6:7C:EC:DD:A3,CORDOBA,,,38313.0,,,,,cnPilot e410,,Point,INDOOR_31119-ZGYO866,172.25.116.227,,,,,,,,31119-ZGYO866 CORDOBA VIA TIERRALTA (SAN ANTERITO),2021-05-07 20:12:34,2021-06-21T09:48:13.818332,,,,,31119-ZGYO866-AP-INT,31119-ZGYO866,-75.2137182,,,offline
407,,CO,,,W8WL048TMKWF,wifi-enterprise,,BC:A9:93:00:97:E8,CORDOBA,,,38313.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.116.228,,,,,,1,,31119-ZGYO866 CORDOBA VIA TIERRALTA (SAN ANTERITO),2021-05-07 21:22:02,2021-06-21T09:48:13.818332,,,,,31119-ZGYO866-AP-EXT1,31119-ZGYO866,9.1557749,,,offline
408,,CO,,,W8WL0477NF9D,wifi-enterprise,,BC:A9:93:00:97:B8,CORDOBA,,,38313.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.116.229,,,,,,1,,31119-ZGYO866 CORDOBA VIA TIERRALTA (SAN ANTERITO),2021-05-07 21:22:41,2021-06-21T09:48:13.818332,,,,,31119-ZGYO866-AP-EXT2,31119-ZGYO866,-75.2137182,,,offline
409,,CO,,32522-ZGYO882-AP-INT,W8WD05VSTV9N,wifi-enterprise,,BC:E6:7C:47:CD:E9,CORDOBA,,,40653.0,,,,,cnPilot e410,,Point,INDOOR,172.25.119.99,,,,,,,,32522-ZGYO882 TIERRALTA CARAMELO,2021-05-08 17:13:18,2021-06-21T09:48:13.818332,,,,,32522-ZGYO882-APINT,32522-ZGYO882,9.1557749,,,offline
410,,CO,,32522-ZGYO882-AP-EXT1,W8WF002SD95L,wifi-enterprise,,BC:E6:7C:4F:06:0E,CORDOBA,,,40661.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.119.101,,,,,,1,,32522-ZGYO882 TIERRALTA CARAMELO,2021-05-08 17:13:48,2021-06-21T09:48:13.818332,,,,,32522-ZGYO882-AP-EXT2,32522-ZGYO882,-73.41825448,,,offline
411,,CO,,32522-ZGYO882-AP-EXT2,W8WF00F9NXCF,wifi-enterprise,,BC:E6:7C:4F:07:3E,CORDOBA,,,40653.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.119.100,,,,,,1,,32522-ZGYO882 TIERRALTA CARAMELO,2021-05-08 17:14:50,2021-06-21T09:48:13.818332,,,,,32522-ZGYO882-AP-EXT1,32522-ZGYO882,7.63307063,,,offline
412,,CO,,32207-ZZZY477-AP-EXT1,W8WL03JTMK9C,wifi-enterprise,,BC:A9:93:00:31:54,CORDOBA,,,1811087.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.50.204,,,,,,1,,32207-ZZZY477 SAHAGUN CENTRO DOCENTE SALGUERITO,2021-05-08 17:55:18,2021-06-21T09:48:13.818332,,,,,OUTDOOR1-SALGUERITO-COSTA-10003305,32207-ZZZY477,-73.41825448,,,offline
413,,CO,,,W8WJ0DXGPV9Z,wifi-enterprise,,BC:E6:7C:E8:CD:60,CORDOBA,,,27573.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.119.29,,,,,,,,32578-ZGYO845 CORDOBA VEREDA QUEBRADA COSTA,2021-05-09 09:42:45,2021-06-21T09:48:13.818332,,,,,32578-ZGYO845-AP-EXT2,32578-ZGYO845,7.63307063,,,offline
